option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP
0.2 m / 7 in,020CM,$2.68,$2.90,$6.08,$6.30,$7.08,$7.30,$4.92,$5.36,$9.32,$9.76,$13.32,$13.76,$2.72,$2.94,$6.12,$6.34,$7.12,$7.34,$5.02,$5.44,$9.42,$9.84,$13.42,$13.84,$2.72,$2.94,$6.12,$6.34,$7.12,$7.34,$5.02,$5.44,$9.42,$9.84,$13.42,$13.84,$2.74,$2.96,$6.14,$6.36,$7.14,$7.36,$5.08,$5.50,$9.48,$9.90,$13.48,$13.90
0.3 m / 1 ft,001FT,$2.72,$2.96,$6.09,$6.32,$7.12,$7.36,$4.99,$5.45,$9.39,$9.85,$13.39,$13.85,$2.79,$3.02,$6.19,$6.42,$7.19,$7.42,$5.14,$5.57,$9.54,$9.97,$13.54,$13.97,$2.79,$3.02,$6.19,$6.42,$7.19,$7.42,$5.14,$5.57,$9.54,$9.97,$13.54,$13.97,$2.82,$3.05,$6.22,$6.45,$7.22,$7.45,$5.23,$5.67,$9.63,$10.07,$13.63,$14.07
0.5 m / 1.64 ft,050CM,$2.80,$3.05,$6.15,$6.40,$7.20,$7.45,$5.10,$5.60,$9.50,$10.00,$13.50,$14.00,$2.90,$3.15,$6.30,$6.55,$7.30,$7.55,$5.35,$5.80,$9.75,$10.20,$13.75,$14.20,$2.90,$3.15,$6.30,$6.55,$7.30,$7.55,$5.35,$5.80,$9.75,$10.20,$13.75,$14.20,$2.95,$3.20,$6.35,$6.60,$7.35,$7.60,$5.50,$5.95,$9.90,$10.35,$13.90,$14.35
0.6 m / 2 ft,002FT,$2.84,$3.11,$6.18,$6.44,$7.24,$7.51,$5.17,$5.69,$9.57,$10.09,$13.57,$14.09,$2.97,$3.23,$6.37,$6.63,$7.37,$7.63,$5.47,$5.93,$9.87,$10.33,$13.87,$14.33,$2.97,$3.23,$6.37,$6.63,$7.37,$7.63,$5.47,$5.93,$9.87,$10.33,$13.87,$14.33,$3.03,$3.29,$6.43,$6.69,$7.43,$7.69,$5.65,$6.12,$10.05,$10.52,$14.05,$14.52
0.91 m / 3 ft,003FT,$2.96,$3.26,$6.27,$6.56,$7.36,$7.66,$5.35,$5.93,$9.75,$10.33,$13.75,$14.33,$3.15,$3.44,$6.55,$6.84,$7.55,$7.84,$5.80,$6.29,$10.20,$10.69,$14.20,$14.69,$3.15,$3.44,$6.55,$6.84,$7.55,$7.84,$5.80,$6.29,$10.20,$10.69,$14.20,$14.69,$3.24,$3.53,$6.64,$6.93,$7.64,$7.93,$6.07,$6.57,$10.47,$10.97,$14.47,$14.97
1 m / 3.28 ft,001M,$3.00,$3.30,$6.30,$6.60,$7.40,$7.70,$5.40,$6.00,$9.80,$10.40,$13.80,$14.40,$3.20,$3.50,$6.60,$6.90,$7.60,$7.90,$5.90,$6.40,$10.30,$10.80,$14.30,$14.80,$3.20,$3.50,$6.60,$6.90,$7.60,$7.90,$5.90,$6.40,$10.30,$10.80,$14.30,$14.80,$3.30,$3.60,$6.70,$7.00,$7.70,$8.00,$6.20,$6.70,$10.60,$11.10,$14.60,$15.10
1.21 m / 4 ft,004FT,$3.08,$3.41,$6.36,$6.68,$7.48,$7.81,$5.53,$6.17,$9.93,$10.57,$13.93,$14.57,$3.33,$3.65,$6.73,$7.05,$7.73,$8.05,$6.13,$6.65,$10.53,$11.05,$14.53,$15.05,$3.33,$3.65,$6.73,$7.05,$7.73,$8.05,$6.13,$6.65,$10.53,$11.05,$14.53,$15.05,$3.45,$3.77,$6.85,$7.17,$7.85,$8.17,$6.49,$7.02,$10.89,$11.42,$14.89,$15.42
1.5 m / 4.92 ft,150CM,$3.20,$3.55,$6.45,$6.80,$7.60,$7.95,$5.70,$6.40,$10.10,$10.80,$14.10,$14.80,$3.50,$3.85,$6.90,$7.25,$7.90,$8.25,$6.45,$7.00,$10.85,$11.40,$14.85,$15.40,$3.50,$3.85,$6.90,$7.25,$7.90,$8.25,$6.45,$7.00,$10.85,$11.40,$14.85,$15.40,$3.65,$4.00,$7.05,$7.40,$8.05,$8.40,$6.90,$7.45,$11.30,$11.85,$15.30,$15.85
1.52 m / 5 ft,005FT,$3.21,$3.56,$6.46,$6.81,$7.61,$7.96,$5.71,$6.42,$10.11,$10.82,$14.11,$14.82,$3.51,$3.86,$6.91,$7.26,$7.91,$8.26,$6.47,$7.02,$10.87,$11.42,$14.87,$15.42,$3.51,$3.86,$6.91,$7.26,$7.91,$8.26,$6.47,$7.02,$10.87,$11.42,$14.87,$15.42,$3.66,$4.02,$7.06,$7.42,$8.06,$8.42,$6.93,$7.48,$11.33,$11.88,$15.33,$15.88
1.82 m / 6 ft,006FT,$3.33,$3.71,$6.55,$6.93,$7.73,$8.11,$5.89,$6.66,$10.29,$11.06,$14.29,$15.06,$3.69,$4.07,$7.09,$7.47,$8.09,$8.47,$6.80,$7.38,$11.20,$11.78,$15.20,$15.78,$3.69,$4.07,$7.09,$7.47,$8.09,$8.47,$6.80,$7.38,$11.20,$11.78,$15.20,$15.78,$3.87,$4.26,$7.27,$7.66,$8.27,$8.66,$7.35,$7.93,$11.75,$12.33,$15.75,$16.33
2 m / 6.56 ft,002M,$3.40,$3.80,$6.60,$7.00,$7.80,$8.20,$6.00,$6.80,$10.40,$11.20,$14.40,$15.20,$3.80,$4.20,$7.20,$7.60,$8.20,$8.60,$7.00,$7.60,$11.40,$12.00,$15.40,$16.00,$3.80,$4.20,$7.20,$7.60,$8.20,$8.60,$7.00,$7.60,$11.40,$12.00,$15.40,$16.00,$4.00,$4.40,$7.40,$7.80,$8.40,$8.80,$7.60,$8.20,$12.00,$12.60,$16.00,$16.60
2.12 m / 7 ft,007FT,$3.45,$3.86,$6.64,$7.05,$7.85,$8.26,$6.07,$6.90,$10.47,$11.30,$14.47,$15.30,$3.87,$4.28,$7.27,$7.68,$8.27,$8.68,$7.13,$7.74,$11.53,$12.14,$15.53,$16.14,$3.87,$4.28,$7.27,$7.68,$8.27,$8.68,$7.13,$7.74,$11.53,$12.14,$15.53,$16.14,$4.08,$4.50,$7.48,$7.90,$8.48,$8.90,$7.77,$8.38,$12.17,$12.78,$16.17,$16.78
2.43 m / 8 ft,008FT,$3.57,$4.02,$6.73,$7.17,$7.97,$8.42,$6.26,$7.14,$10.66,$11.54,$14.66,$15.54,$4.06,$4.50,$7.46,$7.90,$8.46,$8.90,$7.47,$8.12,$11.87,$12.52,$15.87,$16.52,$4.06,$4.50,$7.46,$7.90,$8.46,$8.90,$7.47,$8.12,$11.87,$12.52,$15.87,$16.52,$4.30,$4.74,$7.70,$8.14,$8.70,$9.14,$8.20,$8.85,$12.60,$13.25,$16.60,$17.25
2.5 m /  8.20 ft,250CM,$3.60,$4.05,$6.75,$7.20,$8.00,$8.45,$6.30,$7.20,$10.70,$11.60,$14.70,$15.60,$4.10,$4.55,$7.50,$7.95,$8.50,$8.95,$7.55,$8.20,$11.95,$12.60,$15.95,$16.60,$4.10,$4.55,$7.50,$7.95,$8.50,$8.95,$7.55,$8.20,$11.95,$12.60,$15.95,$16.60,$4.35,$4.80,$7.75,$8.20,$8.75,$9.20,$8.30,$8.95,$12.70,$13.35,$16.70,$17.35
2.74 m / 9 ft,009FT,$3.70,$4.17,$6.82,$7.30,$8.10,$8.57,$6.44,$7.39,$10.84,$11.79,$14.84,$15.79,$4.24,$4.72,$7.64,$8.12,$8.64,$9.12,$7.81,$8.49,$12.21,$12.89,$16.21,$16.89,$4.24,$4.72,$7.64,$8.12,$8.64,$9.12,$7.81,$8.49,$12.21,$12.89,$16.21,$16.89,$4.52,$4.99,$7.92,$8.39,$8.92,$9.39,$8.64,$9.31,$13.04,$13.71,$17.04,$17.71
